P_CUSTOMER_NAME,P_RECEIPT_AMOUNT,P_RECEIPT_NUMBER,P_RECEIPT_DATE,BILL_CUSTOMER_NAME,BILL_CUSTOMER_NUMBER,BUSINESS_UNIT,RECEIPT_METHOD,RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,APPLIED_AMOUNT,CURRENCY,RECEIPT_STATUS_CODE,UNAPPLIED_AMOUNT
,,,,"Netcarrots. Com",201748,QC12-KA,"QC MIG",Unallocated2,31-03-2021,2243,0,INR,UNAPP,
,,,,"Sterling Holidays Resorts India",202409,QC12-KA,"QC MIG",42836,31-03-2021,88000,0,INR,UNAPP,
,,,,"Apptronics Retail",200241,QC12-KA,"QC MIG",909,31-03-2021,28788,0,INR,UNAPP,
,,,,"Open-Silicon Research",201847,QC12-KA,"QC MIG",4304,31-03-2021,14940,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG","Unallocated 03.05.2017",31-03-2021,1796,0,INR,UNAPP,
,,,,"In2 Marketing & Consulting",201228,QC12-KA,"QC MIG",1558,31-03-2021,25303.57,0,INR,UNAPP,
,,,,"Watanmal India",202731,QC12-KA,"QC MIG",1731,31-03-2021,6488,0,INR,UNAPP,
,,,,"Phani Kumar",201946,QC12-KA,"QC MIG",11.05.2017,31-03-2021,467650,0,INR,UNAPP,
,,,,"Groupm Media India",201077,QC12-KA,"QC MIG",QC-INV-AMZN-867-2017-18,31-03-2021,68444,0,INR,UNAPP,
,,,,"Mysmartprice Web Technology",201713,QC12-KA,"QC MIG",2571,31-03-2021,35573,0,INR,UNAPP,
,,,,"Future Mobile",200927,QC12-KA,"QC MIG",3237,31-03-2021,9279,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",3826,31-03-2021,17,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",17-18/Jul/JV0163,31-03-2021,17603,0,INR,UNAPP,
,,,,"S R B C & Co",202185,QC12-KA,"QC MIG",QCAMZN2426201718,31-03-2021,3760,0,INR,UNAPP,
,,,,"Yes Bank",202781,QC12-KA,"QC MIG",42976,31-03-2021,21000,0,INR,UNAPP,
,,,,"Red Box Rewards",202097,QC12-KA,"QC MIG",QCCRNT0258201718,31-03-2021,42440,0,INR,UNAPP,
,,,,"Timken India",202551,QC12-KA,"QC MIG",QC-INV-3092-2016-17,31-03-2021,80387.02,0,INR,UNAPP,
,,,,"Wells Fargo India Solutions",202741,QC12-KA,"QC MIG",42978,31-03-2021,3321.63,0,INR,UNAPP,
,,,,"Skoda Auto Volkswagen India",202334,QC12-KA,"QC MIG",8641,31-03-2021,1221,0,INR,UNAPP,
,,,,"Grofers India",201072,QC12-KA,"QC MIG",March'18,31-03-2021,6236.23,1065,INR,UNAPP,5171.23
,,,,"Ppd Pharmaceutical Development India",201989,QC12-KA,"QC MIG",9563,31-03-2021,10329,0,INR,UNAPP,
,,,,"Spontaneous Communications",202373,QC12-KA,"QC MIG",43007,31-03-2021,19337,0,INR,UNAPP,
,,,,"Olympia Industries",201823,QC12-KA,"QC MIG",9725,31-03-2021,51610,0,INR,UNAPP,
,,,,"Rs Enterprises",202176,QC12-KA,"QC MIG",43011,31-03-2021,13184,0,INR,UNAPP,
,,,,"Hardtrac Computer Services",201105,QC12-KA,"QC MIG",43012,31-03-2021,26440,0,INR,UNAPP,
,,,,"Strides Commerce",202418,QC12-KA,"QC MIG",43013,31-03-2021,36957,0,INR,UNAPP,
,,,,"Dbm Marketing India",200651,QC12-KA,"QC MIG",43017,31-03-2021,43594,0,INR,UNAPP,
,,,,"Royal Business Outsourcing",202171,QC12-KA,"QC MIG",43021,31-03-2021,84083,0,INR,UNAPP,
,,,,"The Dressing Lounge",202519,QC12-KA,"QC MIG",10829,31-03-2021,14005,0,INR,UNAPP,
,,,,"Cyclone Mobile Care",200637,QC12-KA,"QC MIG",Oct'17,31-03-2021,105810,0,INR,UNAPP,
,,,,"Orient Bell",201855,QC12-KA,"QC MIG",11662,31-03-2021,5500,0,INR,UNAPP,
,,,,"Regenersis India",202105,QC12-KA,"QC MIG",QCCORP5330201718,31-03-2021,6639,0,INR,UNAPP,
,,,,"Wells Fargo India Solutions",202741,QC12-KA,"QC MIG",43059,31-03-2021,15377.03,0,INR,UNAPP,
,,,,"Spring Productions",202378,QC12-KA,"QC MIG",43080,31-03-2021,100000,0,INR,UNAPP,
,,,,"Airbus Group India Pvt Ltd",200090,QC12-KA,"QC MIG",13572,31-03-2021,9925,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",15075,31-03-2021,64,0,INR,UNAPP,
,,,,"Tupperware India",202619,QC12-KA,"QC MIG",15255,31-03-2021,701.75,0,INR,UNAPP,
,,,,"Oppo Mobiles India",201850,QC12-KA,"QC MIG",QCAMZN4518201718,31-03-2021,24200,0,INR,UNAPP,
,,,,"Eshan Evnets & Greetings",200807,QC12-KA,"QC MIG",123,31-03-2021,28803.5,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG",Unallocated,31-03-2021,95119,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG","Agst TDS",31-03-2021,18320,0,INR,UNAPP,
,,,,Kpmg,201436,QC12-KA,"QC MIG",14-15/Mar/JV0693,31-03-2021,31406,0,INR,UNAPP,
,,,,"Jet Airways (I)",201343,QC12-KA,"QC MIG",1431,31-03-2021,134498,0,INR,UNAPP,
,,,,"Ifocus Systec India",201219,QC12-KA,"QC MIG",13.7.2015,31-03-2021,22531,0,INR,UNAPP,
,,,,"Fca India Automobiles",200863,QC12-KA,"QC MIG",2428,31-03-2021,389500,0,INR,UNAPP,
,,,,"Ao Smith",200220,QC12-KA,"QC MIG",09.09.2015,31-03-2021,22500,0,INR,UNAPP,
,,,,"Ibit Solutions",201199,QC12-KA,"QC MIG",9283,31-03-2021,26758,0,INR,UNAPP,
,,,,"Arvind Lifestyle Brands",200260,QC12-KA,"QC MIG",544,31-03-2021,115000,0,INR,UNAPP,
,,,,"Tango Card",202473,QC12-KA,"QC MIG",15983,31-03-2021,20029.39,0,INR,UNAPP,
,,,,"Cheervoucher Global Gifitng Solutions",200517,QC12-KA,"QC MIG",42494,31-03-2021,20231,0,INR,UNAPP,
,,,,"Vaibhav Stores",202670,QC12-KA,"QC MIG",42522,31-03-2021,83940,0,INR,UNAPP,
,,,,"Tententen Digital Products",202511,QC12-KA,"QC MIG",3061,31-03-2021,6600,0,INR,UNAPP,
,,,,"Jindal Infra Solutions",201346,QC12-KA,"QC MIG","Discount Jun'16",31-03-2021,64750,0,INR,UNAPP,
,,,,Telepathy,202507,QC12-KA,"QC MIG",4049,31-03-2021,18750,0,INR,UNAPP,
,,,,"Paradigm Infocom",201887,QC12-KA,"QC MIG",42591,31-03-2021,8000,0,INR,UNAPP,
,,,,Louis,201509,QC12-KA,"QC MIG",42628,31-03-2021,42500,0,INR,UNAPP,
,,,,"Belkin India",200348,QC12-KA,"QC MIG",42648,31-03-2021,9100,0,INR,UNAPP,
,,,,"Compare Munafa Online",200573,QC12-KA,"QC MIG",7864,31-03-2021,9008,0,INR,UNAPP,
,,,,Infosys,201271,QC12-KA,"QC MIG",9736,31-03-2021,36024,0,INR,UNAPP,
,,,,"Kotak Mahindra General Insurance",201432,QC12-KA,"QC MIG",QC-INV-5281-2016-17,31-03-2021,26400,0,INR,UNAPP,
,,,,"Sanwaria Texpro",202243,QC12-KA,"QC MIG",42723,31-03-2021,806900,0,INR,UNAPP,
,,,,"Starwood Hotels & Resorts India",202403,QC12-KA,"QC MIG",12656,31-03-2021,29150,0,INR,UNAPP,
,,,,"Telenor India Communications",200058,QC12-KA,"QC MIG",Mar'17,31-03-2021,9016.5,0,INR,UNAPP,
,,,,"Transforming Retail",202595,QC12-KA,"QC MIG",42773,31-03-2021,7000,0,INR,UNAPP,
,,,,"B S R & Co",200311,QC12-KA,"QC MIG",QC-CN-343-2016-17,31-03-2021,2940,0,INR,UNAPP,
,,,,"Lenovo India",201471,QC12-KA,"QC MIG",QC-CN-348-2016-17,31-03-2021,23850,851.78,INR,UNAPP,22998.22
,,,,"Baobab Clean Technologies",200325,QC12-KA,"QC MIG",Mar'17,31-03-2021,9100,0,INR,UNAPP,
,,,,"Mobiquest Mobile Technologies",201663,QC12-KA,"QC MIG",Mar'17,31-03-2021,46506,0,INR,UNAPP,
,,,,"Gravity Promotions",201059,QC12-KA,"QC MIG",Mar'17,31-03-2021,9337,0,INR,UNAPP,
,,,,Sapient Consulting,202244,QC12-KA,"QC MIG",Advance,31-03-2021,6080,0,INR,UNAPP,
,,,,"Toluna Sas",202577,QC12-KA,"QC MIG",25546,31-03-2021,83021.71,0,INR,UNAPP,
,,,,"Hdfc Asset Management Company",201114,QC12-KA,"QC MIG",18-19/Dec/JV0053,31-03-2021,9350,0,INR,UNAPP,
,,,,"Big Faction Consultancy",200375,QC12-KA,"QC MIG",26984,31-03-2021,30000,0,INR,UNAPP,
,,,,"Schneider Electric India",202266,QC12-KA,"QC MIG",43447,31-03-2021,2764.2,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",43448,31-03-2021,1919.99,0,INR,UNAPP,
,,,,"Guru & Jana",201087,QC12-KA,"QC MIG",27590,31-03-2021,2500,0,INR,UNAPP,
,,,,"Aparichit Technologies",200223,QC12-KA,"QC MIG",27959,31-03-2021,30000,0,INR,UNAPP,
,,,,"Hdfc Asset Management Company",201114,QC12-KA,"QC MIG",27935,31-03-2021,6000,0,INR,UNAPP,
,,,,"Foxbox Retail",200904,QC12-KA,"QC MIG",27977,31-03-2021,810,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",43454,31-03-2021,101244,0,INR,UNAPP,
,,,,Itc,201332,QC12-KA,"QC MIG",18-19/Dec/JV0213,31-03-2021,8468,0,INR,UNAPP,
,,,,"Sanctus Innovations",202233,QC12-KA,"QC MIG",28310,31-03-2021,30000,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",28670,31-03-2021,51,0,INR,UNAPP,
,,,,"Schneider Electric India",202265,QC12-KA,"QC MIG",43460,31-03-2021,23125,29.55,INR,UNAPP,23095.45
,,,,"Foxbox Retail",200904,QC12-KA,"QC MIG",29055,31-03-2021,1040,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",29037,31-03-2021,25935,0,INR,UNAPP,
,,,,"Z Enviro Industries",202798,QC12-KA,"QC MIG",29301,31-03-2021,5397,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",43473,31-03-2021,2716,0,INR,UNAPP,
,,,,"Texas Instruments",202514,QC12-KA,"QC MIG",43466,31-03-2021,27348.29,0,INR,UNAPP,
,,,,"Magasin Distribution",201550,QC12-KA,"QC MIG",QCCRNT0283201819,31-03-2021,19824.12,0,INR,UNAPP,
,,,,"Foxbox Retail",200904,QC12-KA,"QC MIG",30859,31-03-2021,240,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",31793,31-03-2021,492788,0,INR,UNAPP,
,,,,"Alight Hr Services India",200109,QC12-KA,"QC MIG",18-19/Feb/JV0317,31-03-2021,11160,0,INR,UNAPP,
,,,,"Bajaj Allianz General Insurance Co",200318,QC12-KA,"QC MIG",18-19/Feb/JV0305,31-03-2021,5337,0,INR,UNAPP,
,,,,"Bausch & Lomb India",200334,QC12-KA,"QC MIG",18-19/Feb/JV0322,31-03-2021,34772,0,INR,UNAPP,
,,,,"Aditiya Birla Financial",200381,QC12-KA,"QC MIG",QCCRNT0260201819,31-03-2021,57000,0,INR,UNAPP,
,,,,Bosch,200411,QC12-KA,"QC MIG",18-19/Feb/JV0307,31-03-2021,7050,0,INR,UNAPP,
,,,,"Idc Centre For Consultancy And Research",201213,QC12-KA,"QC MIG",43103,31-03-2021,1035,0,INR,UNAPP,
,,,,"Price Waterhouse Coopers Pl",202007,QC12-KA,"QC MIG",16108,31-03-2021,1975,0,INR,UNAPP,
,,,,"Sairam Marketing",202209,QC12-KA,"QC MIG",12342,31-03-2021,321150,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",17849,31-03-2021,37,0,INR,UNAPP,
,,,,"Kotak Mahindra Bank",201424,QC12-KA,"QC MIG",18077,31-03-2021,3800,2842,INR,UNAPP,958
,,,,"Vipra Labs",202699,QC12-KA,"QC MIG",43151,31-03-2021,50000,0,INR,UNAPP,
,,,,"Loylty Rewardz Management",201515,QC12-KA,"QC MIG",17-18/Feb/JV0464,31-03-2021,2500,0,INR,UNAPP,
,,,,"Ingram Micro India",201273,QC12-KA,"QC MIG",43164,31-03-2021,5837,0,INR,UNAPP,
,,,,"Hdfc Bank",201117,QC12-KA,"QC MIG",17-18/Mar/JV0176,31-03-2021,13250,0,INR,UNAPP,
,,,,"Hash Connect Integrated Services",201110,QC12-KA,"QC MIG",43172,31-03-2021,120000,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",QCBOP13811718RES,31-03-2021,3850,0,INR,UNAPP,
,,,,"Impelsys India",201224,QC12-KA,"QC MIG",21189,31-03-2021,41650,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",21499,31-03-2021,25,0,INR,UNAPP,
,,,,"Eurofins It Solutions India",200813,QC12-KA,"QC MIG",43182,31-03-2021,22231,0,INR,UNAPP,
,,,,Makemytrip,201565,QC12-KA,"QC MIG",22080,31-03-2021,250951,0,INR,UNAPP,
,,,,"Cpas Consulting",200603,QC12-KA,"QC MIG",17-18/Mar/JV0784,31-03-2021,163650,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG","TDS 17-18",31-03-2021,3800,0,INR,UNAPP,
,,,,"Ipsoft Global Services",201315,QC12-KA,"QC MIG",17-18/Mar/JV1417,31-03-2021,15682,0,INR,UNAPP,
,,,,"Skoda Auto Volkswagen India",202334,QC12-KA,"QC MIG","TDS 17-18",31-03-2021,22,0,INR,UNAPP,
,,,,"Tieto India",202545,QC12-KA,"QC MIG",10/04/18,31-03-2021,4950,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",927,31-03-2021,7430,0,INR,UNAPP,
,,,,Shopclues,200552,QC12-KA,"QC MIG",May'18,31-03-2021,30519.03,14539,INR,UNAPP,15980.03
,,,,"United Spirits",202641,QC12-KA,"QC MIG",43228,31-03-2021,28130,0,INR,UNAPP,
,,,,"Volkswagen It Services",202716,QC12-KA,"QC MIG",3891,31-03-2021,46550,0,INR,UNAPP,
,,,,"Alcon Laboratories",200102,QC12-KA,"QC MIG",QCCRNT0062201819,31-03-2021,7500,0,INR,UNAPP,
,,,,"Alcon Laboratories",200102,QC12-KA,"QC MIG",QCCRNT0063201819,31-03-2021,10000,0,INR,UNAPP,
,,,,"Bridge To Business Consultancy",200433,QC12-KA,"QC MIG",43242,31-03-2021,30000,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",CNBOP00301819RES,31-03-2021,817,0,INR,UNAPP,
,,,,"Ringtel Marketing",202151,QC12-KA,"QC MIG",43243,31-03-2021,37000,0,INR,UNAPP,
,,,,"B M Consulting",200310,QC12-KA,"QC MIG",43244,31-03-2021,30000,0,INR,UNAPP,
,,,,"M/S Jai Dev Mal And Sons",201537,QC12-KA,"QC MIG",43244,31-03-2021,10000,0,INR,UNAPP,
,,,,"Karvy Data Management Services",201391,QC12-KA,"QC MIG",43248,31-03-2021,50000,0,INR,UNAPP,
,,,,"Hash Connect Integrated Services",201110,QC12-KA,"QC MIG",43249,31-03-2021,35600,0,INR,UNAPP,
,,,,"Thomas Cook India",202536,QC12-KA,"QC MIG",5013,31-03-2021,462.97,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",CNBOP00321819RES,31-03-2021,48,0,INR,UNAPP,
,,,,"Reverse Logistics Company",202134,QC12-KA,"QC MIG",QCCRNT0078201819,31-03-2021,126441,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",CNBOP00381819RES,31-03-2021,2733,0,INR,UNAPP,
,,,,"General Mills India",200980,QC12-KA,"QC MIG",5595,31-03-2021,42120,0,INR,UNAPP,
,,,,"Radii Rewards",202069,QC12-KA,"QC MIG",QCCRNT0087201819,31-03-2021,9000,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",6545,31-03-2021,300,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",6547,31-03-2021,300,0,INR,UNAPP,
,,,,"Jaipur Global Services",201339,QC12-KA,"QC MIG",43278,31-03-2021,30000,0,INR,UNAPP,
,,,,"Pernod Ricard India",201941,QC12-KA,"QC MIG",Jul'18,31-03-2021,20000,8740,INR,UNAPP,11260
,,,,"Fringe Tech Labs",200915,QC12-KA,"QC MIG",Jul'18,31-03-2021,26281,0,INR,UNAPP,
,,,,"Tally Solutions",202470,QC12-KA,"QC MIG",CNMTH00431718ADJ,31-03-2021,5938,5704.75,INR,UNAPP,233.25
,,,,Infosys,201270,QC12-KA,"QC MIG",8896,31-03-2021,20000,0,INR,UNAPP,
,,,,"Healthvista India",201127,QC12-KA,"QC MIG",18-19/Jul/JV0360,31-03-2021,9073,2818,INR,UNAPP,6255
,,,,"Nykaa E-Retail",201802,QC12-KA,"QC MIG",18-19/Jul/JV0381,31-03-2021,5315.78,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",18-19/Jul/JV0349,31-03-2021,18600,0,INR,UNAPP,
,,,,"Organon (India)",201853,QC12-KA,"QC MIG",18-19/Jul/JV0405,31-03-2021,17,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",18-19/Jul/JV0402,31-03-2021,800,0,INR,UNAPP,
,,,,"United Spirits",202641,QC12-KA,"QC MIG",18-19/Jul/JV0350,31-03-2021,29134,0,INR,UNAPP,
,,,,"Knorr-Bremse Technology Centre",201415,QC12-KA,"QC MIG",14084,31-03-2021,2500,0,INR,UNAPP,
,,,,"National Events",201726,QC12-KA,"QC MIG",Jan'19,31-03-2021,50454,0,INR,UNAPP,
,,,,"Jaipur Global Services",201339,QC12-KA,"QC MIG",14918,31-03-2021,20000,0,INR,UNAPP,
,,,,"Karvy Stock Broking",201392,QC12-KA,"QC MIG",15245,31-03-2021,7000,0,INR,UNAPP,
,,,,"Netcarrots. Com",201748,QC12-KA,"QC MIG",16889,31-03-2021,36866,0,INR,UNAPP,
,,,,Pepperfry,201930,QC12-KA,"QC MIG",CNMTH01591718ADJ,31-03-2021,137500,0,INR,UNAPP,
,,,,Pepperfry,201930,QC12-KA,"QC MIG",CNMTH01601718ADJ,31-03-2021,41400,0,INR,UNAPP,
,,,,"Vodafone India Services",202711,QC12-KA,"QC MIG",43404,31-03-2021,16800,0,INR,UNAPP,
,,,,"Futurecode Technologies",200936,QC12-KA,"QC MIG",23820,31-03-2021,59000,0,INR,UNAPP,
,,,,"Stok International",202410,QC12-KA,"QC MIG",43579,31-03-2021,9450,0,INR,UNAPP,
,,,,"Yum Restaurant India",202795,QC12-KA,"QC MIG",2415,31-03-2021,850,0,INR,UNAPP,
,,,,"Just Shopping",201372,QC12-KA,"QC MIG",43580,31-03-2021,9100,0,INR,UNAPP,
,,,,"91Springboard Business Hub",200010,QC12-KA,"QC MIG",2898,31-03-2021,6771.95,0,INR,UNAPP,
,,,,"Blynk Marketing",200399,QC12-KA,"QC MIG",Mar'2020,31-03-2021,32227,0,INR,UNAPP,
,,,,"E Link",200724,QC12-KA,"QC MIG",QCAZN01011920ABP,31-03-2021,32577,0,INR,UNAPP,
,,,,"Gillette India",201004,QC12-KA,"QC MIG",CNBOP00211920CRP,31-03-2021,13090,0,INR,UNAPP,
,,,,"Nvidia Graphics",201792,QC12-KA,"QC MIG",3162,31-03-2021,49000,0,INR,UNAPP,
,,,,"R2 Pro",202063,QC12-KA,"QC MIG",QCCRNT0034201920,31-03-2021,65512,0,INR,UNAPP,
,,,,"Shubham Kishor Toshniwal",202313,QC12-KA,"QC MIG",3163,31-03-2021,30000,0,INR,UNAPP,
,,,,"Talkcharge Technologies",202467,QC12-KA,"QC MIG",CNMTH00141920ADJ,31-03-2021,1880,0,INR,UNAPP,
,,,,"S R B C & Associates",202194,QC12-KA,"QC MIG",Mar'2020,31-03-2021,5640,0,INR,UNAPP,
,,,,"Mahathi Trading",201552,QC12-KA,"QC MIG",Mar'2020,31-03-2021,1049776,0,INR,UNAPP,
,,,,"Aditiya Birla Financial",200381,QC12-KA,"QC MIG",43593,31-03-2021,1467750,0,INR,UNAPP,
,,,,"Beetel Teletech",200347,QC12-KA,"QC MIG",18-19/Feb/JV0348,31-03-2021,18833,0,INR,UNAPP,
,,,,"Cheervoucher Global Gifitng Solutions",200518,QC12-KA,"QC MIG",18-19/Jan/JV0750,31-03-2021,42801,0,INR,UNAPP,
,,,,"Cushman And Wakefield",200628,QC12-KA,"QC MIG",Jan'19,31-03-2021,118,0,INR,UNAPP,
,,,,"Cvent India",200631,QC12-KA,"QC MIG",18-19/Jan/JV0736,31-03-2021,38885,0,INR,UNAPP,
,,,,"Excel Productions Audio Visuals",200839,QC12-KA,"QC MIG",18-19/Feb/JV0338,31-03-2021,20125,0,INR,UNAPP,
,,,,"Gauri Enterprizes",200961,QC12-KA,"QC MIG",18-19/Feb/JV0326,31-03-2021,30000,0,INR,UNAPP,
,,,,"Hdfc Bank",201115,QC12-KA,"QC MIG",18-19/Feb/JV0321,31-03-2021,10949,0,INR,UNAPP,
,,,,"Honeywell Technology Solution Lab",201171,QC12-KA,"QC MIG",18-19/Jan/JV0756,31-03-2021,10724,0,INR,UNAPP,
,,,,"Infinypool Online Payments India",201264,QC12-KA,"QC MIG",18-19/Feb/JV0313,31-03-2021,8400,0,INR,UNAPP,
,,,,Infosys,201270,QC12-KA,"QC MIG",32278,31-03-2021,139.01,112.45,INR,UNAPP,26.56
,,,,I-Nxt,201314,QC12-KA,"QC MIG",18-19/Feb/JV0336,31-03-2021,20479,0,INR,UNAPP,
,,,,Snapdeal,202345,QC12-KA,"QC MIG",Jan'19,31-03-2021,31410,0,INR,UNAPP,
,,,,"J K Tyre & Industried",201335,QC12-KA,"QC MIG",Jan'19,31-03-2021,343400.01,0,INR,UNAPP,
,,,,"Kotak Securities",201435,QC12-KA,"QC MIG",18-19/Feb/JV0340,31-03-2021,20000,0,INR,UNAPP,
,,,,"Logitech Engineering & Designs India",201503,QC12-KA,"QC MIG",18-19/Feb/JV0295,31-03-2021,2000,0,INR,UNAPP,
,,,,"Magasin Distribution",201551,QC12-KA,"QC MIG",18-19/Feb/JV0290,31-03-2021,957,0,INR,UNAPP,
,,,,"Momentum Communications",201672,QC12-KA,"QC MIG",Jan'19,31-03-2021,1929200.01,0,INR,UNAPP,
,,,,"Pfizer Products India",201943,QC12-KA,"QC MIG",18-19/Feb/JV0332,31-03-2021,25000,0,INR,UNAPP,
,,,,"Tech Mahindra Business Services",202498,QC12-KA,"QC MIG",18-19/Jan/JV0899,31-03-2021,109599.01,2222.5,INR,UNAPP,107376.51
,,,,"The United Trading Company",202526,QC12-KA,"QC MIG",18-19/Feb/JV0303,31-03-2021,5173,0,INR,UNAPP,
,,,,"Hash Connect Integrated Services",201110,QC12-KA,"QC MIG",43498,31-03-2021,90000,0,INR,UNAPP,
,,,,"Foxbox Retail",200904,QC12-KA,"QC MIG",QCCRNT0327201819,31-03-2021,1695,0,INR,UNAPP,
,,,,"Aditiya Birla Financial",200381,QC12-KA,"QC MIG",QCCRNT0332201819,31-03-2021,17529,0,INR,UNAPP,
,,,,"Phasorz Technologies",201948,QC12-KA,"QC MIG",34588,31-03-2021,10000,0,INR,UNAPP,
,,,,"Spectrum Wireless & Technologies",202367,QC12-KA,"QC MIG",18-19/Feb/JV0346,31-03-2021,19123,0,INR,UNAPP,
,,,,"Navus It Service",201729,QC12-KA,"QC MIG",18-19/Feb/JV0360,31-03-2021,50000,0,INR,UNAPP,
,,,,"Integrated Decisions And Systems",201297,QC12-KA,"QC MIG",35320,31-03-2021,3500,0,INR,UNAPP,
,,,,"Lucro Business Ventures",201522,QC12-KA,"QC MIG",43525,31-03-2021,5772,0,INR,UNAPP,
,,,,"Netcarrots. Com",201748,QC12-KA,"QC MIG",43525,31-03-2021,11460,0,INR,UNAPP,
,,,,"Shobiz Experiential Communications",202296,QC12-KA,"QC MIG",35534,31-03-2021,1250,0,INR,UNAPP,
,,,,"Hdfc Asset Management Company",201114,QC12-KA,"QC MIG",18-19/Feb/JV0606,31-03-2021,300,0,INR,UNAPP,
,,,,"Kamani Foods",201382,QC12-KA,"QC MIG",18-19/Feb/JV0606,31-03-2021,50,0,INR,UNAPP,
,,,,"Texas Instruments",202514,QC12-KA,"QC MIG",43536,31-03-2021,6000,0,INR,UNAPP,
,,,,"Ani Technologies",200215,QC12-KA,"QC MIG",18-19/Mar/JV0128,31-03-2021,500,0,INR,UNAPP,
,,,,"Ani Technologies",200215,QC12-KA,"QC MIG",18-19/Mar/JV0130,31-03-2021,633.5,0,INR,UNAPP,
,,,,"Kirti Sales And Services",201408,QC12-KA,"QC MIG",18-19/Mar/JV0187,31-03-2021,55774,0,INR,UNAPP,
,,,,"Kotak Mahindra Bank",201424,QC12-KA,"QC MIG",36620,31-03-2021,1900,0,INR,UNAPP,
,,,,"Sandisk India Device Design Centre",202234,QC12-KA,"QC MIG",36769,31-03-2021,4050,0,INR,UNAPP,
,,,,"Burnish Autocare",200453,QC12-KA,"QC MIG",18-19/Mar/JV0356,31-03-2021,28700,0,INR,UNAPP,
,,,,"Eit Services India",200775,QC12-KA,"QC MIG",18-19/Mar/JV0325,31-03-2021,75370,0,INR,UNAPP,
,,,,"Ferrero India",200868,QC12-KA,"QC MIG",18-19/Mar/JV0360,31-03-2021,281100,0,INR,UNAPP,
,,,,"Lenovo India",201471,QC12-KA,"QC MIG",18-19/Mar/JV0337,31-03-2021,111031,97095.62,INR,UNAPP,13935.38
,,,,"Netcarrots. Com",201748,QC12-KA,"QC MIG",March'19,31-03-2021,31376,0,INR,UNAPP,
,,,,"Benefitsplus Media",200352,QC12-KA,"QC MIG",Mar'19,31-03-2021,110340,0,INR,UNAPP,
,,,,"Repro Books",202126,QC12-KA,"QC MIG",37283,31-03-2021,199670,0,INR,UNAPP,
,,,,"Cvent India",200631,QC12-KA,"QC MIG",43545,31-03-2021,38000,0,INR,UNAPP,
,,,,Itc,201332,QC12-KA,"QC MIG",37677,31-03-2021,1296,0,INR,UNAPP,
,,,,"Vanguard Electronics",202675,QC12-KA,"QC MIG",18-19/Mar/JV0490,31-03-2021,68350,0,INR,UNAPP,
,,,,"TLG India Private Limited",202572,QC12-KA,"QC MIG",43550,31-03-2021,200000,199743,INR,UNAPP,257
,,,,"Medmatics  Llc",201613,QC12-KA,"QC MIG",38398,31-03-2021,300000,0,INR,UNAPP,
,,,,"Goodyear India",201053,QC12-KA,"QC MIG",43553,31-03-2021,1928,0,INR,UNAPP,
,,,,Itc,201332,QC12-KA,"QC MIG",43554,31-03-2021,3888,0,INR,UNAPP,
,,,,"Arham World",200250,QC12-KA,"QC MIG",18-19/Mar/JV0891,31-03-2021,17600,0,INR,UNAPP,
,,,,"Bridgestone India",200435,QC12-KA,"QC MIG",18-19/Mar/JV0963,31-03-2021,882136,260710,INR,UNAPP,621426
,,,,"Bridgestone India",200434,QC12-KA,"QC MIG",18-19/Mar/JV0907,31-03-2021,30521,0,INR,UNAPP,
,,,,"Dreamland Publications",200709,QC12-KA,"QC MIG",18-19/Mar/JV0939,31-03-2021,25301.63,0,INR,UNAPP,
