P_CUSTOMER_NAME,P_FROM_DATE,P_TO_DATE,BILL_CUSTOMER_NAME,BILL_CUSTOMER_NUMBER,BUSINESS_UNIT,RECEIPT_METHOD,RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,APPLIED_AMOUNT,UNAPPLIED_AMOUNT,CURRENCY,RECEIPT_STATUS_CODE
,,,"Surendra Corporation",7009,QC12-KA,"QC - AXIS BANK - 8329",000105230390,02-06-2021,85950,85950,0,INR,APP
,,,"Zagg Network",202799,QC12-KA,"QC - AXIS BANK - 8329",000179366617,02-06-2021,169000,169000,0,INR,APP
,,,"Ahdityaa Ccorporates",6,QC12-KA,"QC - AXIS BANK - 8329",000291015696,02-06-2021,8900,8900,0,INR,APP
,,,"Saluto Wellness",202213,QC12-KA,"QC - AXIS BANK - 8329",000347168045,02-06-2021,100000,100000,0,INR,APP
,,,"Amazon Pay (India)",200131,QC12-KA,"QC - AXIS BANK - 8329",060200070GN00036,02-06-2021,161421.37,161421.37,0,INR,APP
,,,"Myntra Designs_1",201711,QC12-KA,"QC - AXIS BANK - 8329",060200095GN00001,02-06-2021,7615109,7615109,0,INR,APP
,,,"Myntra Designs_1",201711,QC12-KA,"QC - AXIS BANK - 8329",060200096GN00001,02-06-2021,5956539,5956539,0,INR,APP
,,,"Flipkart Internet",200889,QC12-KA,"QC - AXIS BANK - 8329",060200101GN00120,02-06-2021,3781816.17,3781816.17,0,INR,APP
,,,"Flipkart Internet",200890,QC12-KA,"QC - AXIS BANK - 8329",060200129GN00063,02-06-2021,28720.45,28720.45,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC - AXIS BANK - 8329",060200486GN00169,02-06-2021,21783562.68,21783562.68,0,INR,APP
,,,"Tech Connect Retail",202494,QC12-KA,"QC - AXIS BANK - 8329",060200491GN00138,02-06-2021,58503,58503,0,INR,APP
,,,"Tech Connect Retail",202494,QC12-KA,"QC - AXIS BANK - 8329",060200540GN00137,02-06-2021,275312,275312,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC - AXIS BANK - 8329",060200553GN00116,02-06-2021,129944191.17,129944191.17,0,INR,APP
,,,"Amazon Seller Services",200172,QC12-KA,"QC - AXIS BANK - 8329",060200581GN00088,02-06-2021,5777083.14,5777083.14,0,INR,APP
,,,"Samast Technologies",202218,QC12-KA,"QC - AXIS BANK - 8329",106029007747,02-06-2021,3940000,3940000,0,INR,APP
,,,"Saluto Wellness",202215,QC12-KA,"QC - AXIS BANK - 8329",115309127262,02-06-2021,15200,15200,0,INR,APP
,,,"Accenture Solutions",200049,QC12-KA,"QC - AXIS BANK - 8329",2162221455520X92,02-06-2021,78788,78788,0,INR,APP
,,,"Accenture Solutions",200049,QC12-KA,"QC - AXIS BANK - 8329",2162221491G12G21,02-06-2021,237177,237177,0,INR,APP
,,,"Vernost Marketing Services",202690,QC12-KA,"QC - AXIS BANK - 8329",24267961971DC,02-06-2021,28200,28200,0,INR,APP
,,,"Srihitha Shopping Services",202389,QC12-KA,"QC - AXIS BANK - 8329",24268232921DC,02-06-2021,195000,195000,0,INR,APP
,,,"Snapmint Credit Advisory",202347,QC12-KA,"QC - AXIS BANK - 8329",24268395911DC,02-06-2021,1000000,1000000,0,INR,APP
,,,"Finnovation Tech Solutions",200873,QC12-KA,"QC - AXIS BANK - 8329",24268398721DC,02-06-2021,4000000,4000000,0,INR,APP
,,,"Nxtify Technologies",201798,QC12-KA,"QC - AXIS BANK - 8329",24268944871DC,02-06-2021,500000,500000,0,INR,APP
,,,"Etripguru Online",200812,QC12-KA,"QC - AXIS BANK - 8329",24269206081DC,02-06-2021,24250,24250,0,INR,APP
,,,"Work Advantage",202759,QC12-KA,"QC - AXIS BANK - 8329",24269728471DC,02-06-2021,960000,960000,0,INR,APP
,,,"Voucher Activation Services India",202722,QC12-KA,"QC - AXIS BANK - 8329",24270354821DC,02-06-2021,48864,48864,0,INR,APP
,,,"Work Advantage",202759,QC12-KA,"QC - AXIS BANK - 8329",24270756151DC,02-06-2021,576000,576000,0,INR,APP
,,,"Icici Bank",201208,QC12-KA,"QC - AXIS BANK - 8329",24270924691DC,02-06-2021,20000000,20000000,0,INR,APP
,,,"Touch Mobiles",202582,QC12-KA,"QC - AXIS BANK - 8329",25-1972571134-1,02-06-2021,100000,100000,0,INR,APP
,,,"Saffroncoin Solutions",202205,QC12-KA,"QC - AXIS BANK - 8329",25-1972582473-1,02-06-2021,16800,16800,0,INR,APP
,,,R.J.Enterprises,202062,QC12-KA,"QC - AXIS BANK - 8329",25-1972583373-1,02-06-2021,150000,150000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589526-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589575-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589576-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589631-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589632-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589695-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589696-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589705-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589706-1,02-06-2021,200000,200000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",25-1972589707-1,02-06-2021,200000,200000,0,INR,APP
,,,"Next Step",201755,QC12-KA,"QC - AXIS BANK - 8329",25-1972647366-1,02-06-2021,100000,100000,0,INR,APP
,,,"Foxglove Business Services",200907,QC12-KA,"QC - AXIS BANK - 8329",25-1972750960-1,02-06-2021,360000,360000,0,INR,APP
,,,"Touchstone Enterprises",202584,QC12-KA,"QC - AXIS BANK - 8329",25-1972789407-1,02-06-2021,50000,50000,0,INR,APP
,,,"Amazon Seller Services",200191,QC12-KA,"QC - AXIS BANK - 8329",25-1972849508-1,02-06-2021,166500,166500,0,INR,APP
,,,"Doboz Solutions",200700,QC12-KA,"QC - AXIS BANK - 8329",25-1972963998-1,02-06-2021,30000,30000,0,INR,APP
,,,"Viverati Interactive Marketing",202708,QC12-KA,"QC - AXIS BANK - 8329",25-1972966821-1,02-06-2021,200000,200000,0,INR,APP
,,,"Tivra Health",202568,QC12-KA,"QC - AXIS BANK - 8329",25-1972977706-1,02-06-2021,50000,50000,0,INR,APP
,,,"Zithara Technologies",202824,QC12-KA,"QC - AXIS BANK - 8329",25-1973099122-1,02-06-2021,940,940,0,INR,APP
,,,"Bhagwati E Commerce India",200361,QC12-KA,"QC - AXIS BANK - 8329",25-1973369781-1,02-06-2021,100000,100000,0,INR,APP
,,,"Gct Technologies",200972,QC12-KA,"QC - AXIS BANK - 8329",25-1973401629-1,02-06-2021,30000,30000,0,INR,APP
,,,"Slcs Enterprises (Opc)",202338,QC12-KA,"QC - AXIS BANK - 8329",25-1973404875-1,02-06-2021,192000,192000,0,INR,APP
,,,"PhonePe Private Limited",4038,QC12-KA,"QC - AXIS BANK - 8329",25-1973475877-1,02-06-2021,10293.51,10293.51,0,INR,APP
,,,"Next Step",201755,QC12-KA,"QC - AXIS BANK - 8329",25-1973572121-1,02-06-2021,100000,100000,0,INR,APP
,,,"Eon Trading",200794,QC12-KA,"QC - AXIS BANK - 8329",25-1973637729-1,02-06-2021,100000,100000,0,INR,APP
,,,"Eon Trading",200794,QC12-KA,"QC - AXIS BANK - 8329",25-1973644212-1,02-06-2021,50000,50000,0,INR,APP
,,,"We Adorn",9026,QC12-KA,"QC - AXIS BANK - 8329",25-1973750088-1,02-06-2021,7760,7760,0,INR,APP
,,,Interropac,201309,QC12-KA,"QC - AXIS BANK - 8329",25-1973826828-1,02-06-2021,1,1,0,INR,APP
,,,"Drp Financial Services",200715,QC12-KA,"QC - AXIS BANK - 8329",25-1973913389-1,02-06-2021,10000,10000,0,INR,APP
,,,"Pay Point India Network",201909,QC12-KA,"QC - AXIS BANK - 8329",25-1973930537-1,02-06-2021,200000,200000,0,INR,APP
,,,"M/S S. Trading & Co",201541,QC12-KA,"QC - AXIS BANK - 8329",25-1973933230-1,02-06-2021,100000,100000,0,INR,APP
,,,"Airtel Payments Bank",200093,QC12-KA,"QC - AXIS BANK - 8329",A153210009137352,02-06-2021,5619.64,5619.64,0,INR,APP
,,,"Camden Town Technologies",200467,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0080917708,02-06-2021,699302,699302,0,INR,APP
,,,"Paramount Industries",201889,QC12-KA,"QC - AXIS BANK - 8329",BKIDH21153714463,02-06-2021,2500000,2500000,0,INR,APP
,,,"Paramount Industries",201889,QC12-KA,"QC - AXIS BANK - 8329",BKIDH21153715086,02-06-2021,2500000,2500000,0,INR,APP
,,,"Paramount Industries",201889,QC12-KA,"QC - AXIS BANK - 8329",BKIDH21153716129,02-06-2021,900000,900000,0,INR,APP
,,,"Shell India Markets",202294,QC12-KA,"QC - AXIS BANK - 8329",CITIN21182248261,02-06-2021,64116.2,64116.2,0,INR,APP
,,,"One97 Communications Ltd",4037,QC12-KA,"QC - AXIS BANK - 8329",CITIN21182372816,02-06-2021,2154152.3,2154152.3,0,INR,APP
,,,"Basf India",200332,QC12-KA,"QC - AXIS BANK - 8329",CITIN21182544306,02-06-2021,849897.04,849897.04,0,INR,APP
,,,Lupin,201530,QC12-KA,"QC - AXIS BANK - 8329",CITIN21182575652,02-06-2021,25806,25806,0,INR,APP
,,,"Manak Waste Management",201570,QC12-KA,"QC - AXIS BANK - 8329",CMS1963814573,02-06-2021,5000000,5000000,0,INR,APP
,,,"One97 Communications",201828,QC12-KA,"QC - AXIS BANK - 8329",CMS1964282080,02-06-2021,28794.6,28794.6,0,INR,APP
,,,"One97 Communications",201828,QC12-KA,"QC - AXIS BANK - 8329",CMS1964282099,02-06-2021,1985775.49,1985775.49,0,INR,APP
,,,"Opcommerce Online",201840,QC12-KA,"QC - AXIS BANK - 8329",CMS1964288450,02-06-2021,9167.5,9167.5,0,INR,APP
,,,"Eih Limited",200769,QC12-KA,"QC - AXIS BANK - 9303",CMS1964449328,02-06-2021,5000,5000,0,INR,APP
,,,"Dunamis Vision",200719,QC12-KA,"QC - AXIS BANK - 8329",DEUTN21153694612,02-06-2021,1000000,1000000,0,INR,APP
,,,"Zf India",202817,QC12-KA,"QC - AXIS BANK - 8329",DEUTR92021060205000158,02-06-2021,943312.5,943312.5,0,INR,APP
,,,"Green Mobiles",201064,QC12-KA,"QC - AXIS BANK - 8329","GREEN MOBILES",02-06-2021,1000000,1000000,0,INR,APP
,,,"Credence Rewards",200615,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295193045,02-06-2021,1670400,1670400,0,INR,APP
,,,"Youfirst Ventures",202789,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295193373,02-06-2021,457188,457188,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295294303,02-06-2021,1347826.64,1347826.64,0,INR,APP
,,,"Credence Rewards",200615,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295314771,02-06-2021,201600,201600,0,INR,APP
,,,"Credence Rewards",200615,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295315811,02-06-2021,652800,652800,0,INR,APP
,,,"Ultratech Cement",202634,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295338999,02-06-2021,543003,543003,0,INR,APP
,,,"Vouchagram India",202720,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295339906,02-06-2021,9547000,9547000,0,INR,APP
,,,"Benepik Technology",200353,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52021060295355105,02-06-2021,200000,200000,0,INR,APP
,,,"Amazon Seller Services Private Limited",33005,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153824598,02-06-2021,100000,100000,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153870707,02-06-2021,13520639.14,13520639.14,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153913440,02-06-2021,482735.7,482735.7,0,INR,APP
,,,"Amazon Development Centre",33002,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153915809,02-06-2021,10000,10000,0,INR,APP
,,,"Amazon Development Centre",33002,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153916483,02-06-2021,542500,542500,0,INR,APP
,,,"Amazon Pay (India)",33004,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153917455,02-06-2021,5000000,5000000,0,INR,APP
,,,"Amazon Development Centre",33002,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153918001,02-06-2021,110100,110100,0,INR,APP
,,,"Amazon Development Centre",33002,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153918002,02-06-2021,150000,150000,0,INR,APP
,,,"Tech Connect Retail",202496,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153942404,02-06-2021,11625500,11625500,0,INR,APP
,,,"Tech Connect Retail",202493,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153975112,02-06-2021,21056400,21056400,0,INR,APP
,,,"Tech Connect Retail",202493,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153975113,02-06-2021,5444219,5444219,0,INR,APP
,,,"Cloudtail India",200541,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153980538,02-06-2021,500000,500000,0,INR,APP
,,,"Flipkart Internet",200886,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153981826,02-06-2021,14272139.84,14272139.84,0,INR,APP
,,,"Topcashback (India)",202579,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153997535,02-06-2021,300000,300000,0,INR,APP
,,,"Madison Incentives Management",201549,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153998574,02-06-2021,308300.27,308300.27,0,INR,APP
,,,"The Indian Hotels Company Ltd",18064,QC12-KA,"QC - AXIS BANK - 8329",HSBCN21153998999,02-06-2021,1886732.92,1837349.92,49383,INR,UNAPP
,,,"Pouring Pounds India",201985,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153006094,02-06-2021,231239,231239,0,INR,APP
,,,"Pouring Pounds India",201985,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153006096,02-06-2021,684520,684520,0,INR,APP
,,,"Cheeni Labs",200515,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153026456,02-06-2021,1960000,1960000,0,INR,APP
,,,"Tramo Technolab",202588,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153038180,02-06-2021,350000,350000,0,INR,APP
,,,"Global Garner Sales Services",201011,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153041760,02-06-2021,1000000,1000000,0,INR,APP
,,,"Selectkaro India",202273,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153051964,02-06-2021,300000,300000,0,INR,APP
,,,"Nivid Rewards",201766,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153066069,02-06-2021,300000,300000,0,INR,APP
,,,Nearbuy.Com,201730,QC12-KA,"QC - AXIS BANK - 8329",ICICQ21153079820,02-06-2021,850418.07,850418.07,0,INR,APP
,,,"First Idea",14003,QC12-KA,"QC - AXIS BANK - 8329",IDFBR52021060200301243,02-06-2021,3860000,3860000,0,INR,APP
,,,"Neptune Trading Co",201733,QC12-KA,"QC - AXIS BANK - 8329",INDBR22021060200828899,02-06-2021,2500000,2500000,0,INR,APP
,,,"Everest Industries",200823,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538502065,02-06-2021,17370,17370,0,INR,APP
,,,"Kotak Mahindra Bank",201424,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538544203,02-06-2021,253969.7,217194.7,36775,INR,UNAPP
,,,"Garagepreneurs Internet",200957,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538554209,02-06-2021,6000000,6000000,0,INR,APP
,,,"Camden Town Technologies",200467,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538580006,02-06-2021,4948439,4948439,0,INR,APP
,,,"Camden Town Technologies",200465,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538580009,02-06-2021,177141,177141,0,INR,APP
,,,"Kotak Mahindra Bank",201424,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538616449,02-06-2021,784,784,0,INR,APP
,,,"O C Tanner India",201808,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538632786,02-06-2021,5000000,5000000,0,INR,APP
,,,"O C Tanner India",201808,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538633250,02-06-2021,5000000,5000000,0,INR,APP
,,,"O C Tanner India",201808,QC12-KA,"QC - AXIS BANK - 8329",KKBK211538633403,02-06-2021,5000000,5000000,0,INR,APP
,,,"Big Brand Theory Consulting",200372,QC12-KA,"QC - AXIS BANK - 8329",KKBKH21153755935,02-06-2021,400000,400000,0,INR,APP
,,,"Viverati Interactive Marketing",202707,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200650839,02-06-2021,500000,500000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200696962,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697149,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697267,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697423,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697543,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697670,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697824,02-06-2021,1000000,1000000,0,INR,APP
,,,"Goniteo Enterprise",201048,QC12-KA,"QC - AXIS BANK - 8329",KKBKR12021060200697928,02-06-2021,1000000,1000000,0,INR,APP
,,,"Ashish Securities",200272,QC12-KA,"QC - AXIS BANK - 8329",KKBKR22021060200175520,02-06-2021,2000000,2000000,0,INR,APP
,,,"Bhanix Finance And Investment",200363,QC12-KA,"QC - AXIS BANK - 8329",KKBKR22021060200321537,02-06-2021,1000000,1000000,0,INR,APP
,,,Phonepe,201954,QC12-KA,"QC - AXIS BANK - 8329",N153210613415958,02-06-2021,994045.13,994045.13,0,INR,APP
,,,"Yes Bank",202781,QC12-KA,"QC - AXIS BANK - 8329",N153210613517390,02-06-2021,17142,17142,0,INR,APP
,,,"Yes Bank",202781,QC12-KA,"QC - AXIS BANK - 8329",N153210613517913,02-06-2021,530025,530025,0,INR,APP
,,,"Kamal Electronics",201381,QC12-KA,"QC - AXIS BANK - 8329",N153211519851285,02-06-2021,200000,200000,0,INR,APP
,,,"Wave Beverages",202733,QC12-KA,"QC - AXIS BANK - 8329",N153211519884771,02-06-2021,168000,168000,0,INR,APP
,,,"Box Of Choices",200414,QC12-KA,"QC - AXIS BANK - 8329",N153211519948984,02-06-2021,4850,4850,0,INR,APP
,,,"Credence Rewards",200615,QC12-KA,"QC - AXIS BANK - 8329",N153211520118348,02-06-2021,28800,28800,0,INR,APP
,,,"Cpas Technologies",200610,QC12-KA,"QC - AXIS BANK - 8329",N153211520128294,02-06-2021,1500000,1500000,0,INR,APP
,,,"Credence Rewards",200615,QC12-KA,"QC - AXIS BANK - 8329",N153211520130818,02-06-2021,7200,7200,0,INR,APP
,,,"Youfirst Ventures",202789,QC12-KA,"QC - AXIS BANK - 8329",N153211520144648,02-06-2021,6641,6641,0,INR,APP
,,,"Nreach Online Services",201781,QC12-KA,"QC - AXIS BANK - 8329",N153211520225632,02-06-2021,600000,600000,0,INR,APP
,,,"Nreach Online Services",201779,QC12-KA,"QC - AXIS BANK - 8329",N153211520225637,02-06-2021,3000000,3000000,0,INR,APP
,,,"Cpas Technologies",200610,QC12-KA,"QC - AXIS BANK - 8329",N153211520292356,02-06-2021,312000,312000,0,INR,APP
,,,"Accelyst Solutions",200042,QC12-KA,"QC - AXIS BANK - 8329",N153211520323474,02-06-2021,6503.77,6503.77,0,INR,APP
,,,"Zingoy Rewards",202819,QC12-KA,"QC - AXIS BANK - 8329",N153211520336853,02-06-2021,900000,900000,0,INR,APP
,,,"4 Minute Mile Marketing Services",200007,QC12-KA,"QC - AXIS BANK - 8329",N153211520371036,02-06-2021,30000,30000,0,INR,APP
,,,"Vouchagram India",202720,QC12-KA,"QC - AXIS BANK - 8329",N153211520410652,02-06-2021,60337040,60337040,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520468691,02-06-2021,249.7,249.7,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520477321,02-06-2021,52159.77,52159.77,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520478825,02-06-2021,4941,4941,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520482353,02-06-2021,497.64,497.64,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520482850,02-06-2021,20949.24,20949.24,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520482956,02-06-2021,4529.45,4529.45,0,INR,APP
,,,"Payu Payments",4040,QC12-KA,"QC - AXIS BANK - 8329",N153211520483015,02-06-2021,6850.61,6850.61,0,INR,APP
,,,"Ani Technologies",200215,QC12-KA,"QC - AXIS BANK - 8329",N153211520510052,02-06-2021,9750,9750,0,INR,APP
,,,"Cpas Technologies",200610,QC12-KA,"QC - AXIS BANK - 8329",N153211520523488,02-06-2021,1000000,1000000,0,INR,APP
,,,"IIFL Securities Ltd",2021,QC12-KA,"QC - AXIS BANK - 8329",N153211520530644,02-06-2021,11600,11600,0,INR,APP
,,,"Join Commerce",201356,QC12-KA,"QC - AXIS BANK - 8329",N153211520630427,02-06-2021,200000,200000,0,INR,APP
,,,"Join Commerce",201354,QC12-KA,"QC - AXIS BANK - 8329",N153211520631115,02-06-2021,400000,400000,0,INR,APP
,,,"Join Commerce",201354,QC12-KA,"QC - AXIS BANK - 8329",N153211520631130,02-06-2021,400000,400000,0,INR,APP
,,,"Bargain Technologies",200328,QC12-KA,"QC - AXIS BANK - 8329",N153211520638225,02-06-2021,1440000,1440000,0,INR,APP
,,,"Box Of Choices",200414,QC12-KA,"QC - AXIS BANK - 8329",N153211520641064,02-06-2021,139303,139303,0,INR,APP
,,,"Redgirraffe Ecommerce India",202102,QC12-KA,"QC - AXIS BANK - 8329",N153211520706393,02-06-2021,66233.68,66233.68,0,INR,APP
,,,"Reward360 Global Services",202141,QC12-KA,"QC - AXIS BANK - 8329",N153211520777272,02-06-2021,7260,7260,0,INR,APP
,,,Makemytrip,201566,QC12-KA,"QC - AXIS BANK - 8329",N153211520811471,02-06-2021,138049.56,,,INR,UNAPP
,,,"Manipal Technologies",201577,QC12-KA,"QC - AXIS BANK - 8329",N153211520824249,02-06-2021,100000,100000,0,INR,APP
,,,"Ultratech Cement",202634,QC12-KA,"QC - AXIS BANK - 8329",N153211520831754,02-06-2021,9729,9729,0,INR,APP
,,,"Travel Designer India",202596,QC12-KA,"QC - AXIS BANK - 8329",N153211520874837,02-06-2021,7500,7500,0,INR,APP
,,,"Cpas Technologies",200605,QC12-KA,"QC - AXIS BANK - 8329",N153211520892201,02-06-2021,1000000,1000000,0,INR,APP
,,,"Tajonline India",202460,QC12-KA,"QC - AXIS BANK - 8329",N153211520907140,02-06-2021,440000,440000,0,INR,APP
,,,"Tajonline India",202460,QC12-KA,"QC - AXIS BANK - 8329",N153211520907141,02-06-2021,500000,500000,0,INR,APP
,,,"Tajonline India",202460,QC12-KA,"QC - AXIS BANK - 8329",N153211520907142,02-06-2021,500000,500000,0,INR,APP
,,,"Flying Fish Ventures",200893,QC12-KA,"QC - AXIS BANK - 8329",PUNBH21153330364,02-06-2021,4287,,,INR,UNAPP
,,,"Flying Fish Ventures",200893,QC12-KA,"QC - AXIS BANK - 8329",PUNBH21153331820,02-06-2021,266768,266768,0,INR,APP
,,,"Flying Fish Ventures",200893,QC12-KA,"QC - AXIS BANK - 8329",PUNBH21153332515,02-06-2021,56202,56022.65,179.35,INR,UNAPP
,,,"S S Ventures",202191,QC12-KA,"QC - AXIS BANK - 8329",PUNBR52021060211705935,02-06-2021,200000,200000,0,INR,APP
,,,"One97 Communications Ltd",4037,QC12-KA,"QC - AXIS BANK - 8329",PYTM211533298650,02-06-2021,1876.17,1876.17,0,INR,APP
,,,"One97 Communications Ltd",4037,QC12-KA,"QC - AXIS BANK - 8329",PYTM211533314163,02-06-2021,60369.19,60369.19,0,INR,APP
,,,"Zagg Network",202799,QC12-KA,"QC - AXIS BANK - 8329",RATNH21153273228,02-06-2021,350000,350000,0,INR,APP
,,,"Elevatoz Loyalty-Offline",200779,QC12-KA,"QC - AXIS BANK - 8329",SBIN321153502918,02-06-2021,7088,7088,0,INR,APP
,,,"Smsdaak India",201291,QC12-KA,"QC - AXIS BANK - 8329",SBINR12021060226834917,02-06-2021,461000,461000,0,INR,APP
,,,"Vision Mobiles",202703,QC12-KA,"QC - AXIS BANK - 8329",SBINR52021060226804872,02-06-2021,500000,500000,0,INR,APP
,,,"American Express Banking",200204,QC12-KA,"QC - AXIS BANK - 8329",SIN02338R0751090,02-06-2021,2375000,2375000,0,INR,APP
,,,"Manak Waste Management",201572,QC12-KA,"QC - AXIS BANK - 8329",YESBR52021060281176669,02-06-2021,700000,700000,0,INR,APP
,,,"Garagepreneurs Internet",200957,QC12-KA,"QC - AXIS BANK - 8329",YESBR52021060281177541,02-06-2021,1500000,1500000,0,INR,APP
,,,"Golden Bricks Real",19005,QC12-KA,"QC - AXIS BANK - 8329","000110 240",03-06-2021,21600,21600,0,INR,APP
,,,"Zagg Network",202799,QC12-KA,"QC - AXIS BANK - 8329",000179475620,03-06-2021,199000,199000,0,INR,APP
,,,"Zagg Network",202799,QC12-KA,"QC - AXIS BANK - 8329",000179569931,03-06-2021,100000,100000,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627219,03-06-2021,50000,50000,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627276,03-06-2021,30204,30204,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627282,03-06-2021,50000,50000,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627298,03-06-2021,50000,50000,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627349,03-06-2021,2699,2699,0,INR,APP
,,,"Better World Technology",200360,QC12-KA,"QC - AXIS BANK - 8329",000179627372,03-06-2021,50000,50000,0,INR,APP
